Identifier	label	type	Category	Group	NumTargets
DB13088	AZD-0424	Drug	Heterocyclic Compounds, Fused-Ring, Enzyme Inhibitors, Protein Kinase Inhibitors	investigational	0
DB13089	Enoxolone	Drug	Triterpenes, Anti-Inflammatory Agents, Dermatologicals, Pentacyclic Triterpenes, Preparations for Treatment of Wounds and Ulcers, Terpenes, Cicatrizants	investigational	0
DB13082	Nefiracetam	Drug	Neuroprotective Agents, Central Nervous System Depressants, Protective Agents, Pyrrolidines, Central Nervous System Agents, Compounds used in a research, industrial, or household setting, Psychotropic Drugs, Nootropic Agents	investigational	0
DB13083	Talarozole	Drug	Heterocyclic Compounds, Fused-Ring, Enzyme Inhibitors, Sulfur Compounds, Chemically-Induced Disorders, Cytochrome P-450 Enzyme Inhibitors, Thiazoles	investigational	1
DB13080	Roluperidone	Drug	Heterocyclic Compounds, Fused-Ring	investigational	0
DB13086	SCYX-7158	Drug	Benzoates, Acids, Carbocyclic, Amides, Benzene Derivatives	investigational	0
DB13087	Miridesap	Drug	0	investigational	0
DB13084	Pyritinol	Drug	Pyridines, Nervous System, Psychostimulants, Agents Used for Adhd and Nootropics, Psychoanaleptics	investigational	0
DB13085	Riamet	Drug	0	approved, investigational	0
DB13099	Valnoctamide	Drug	Psycholeptics, Nervous System, Central Nervous System Depressants, Hypnotics and Sedatives	investigational	0
DB13090	Zidebactam	Drug	Cycloparaffins, Aza Compounds	investigational	0
DB13093	TAK-593	Drug	Aza Compounds, Receptors, Vascular Endothelial Growth Factor, antagonists & inhibitors, Receptors, Platelet-Derived Growth Factor, antagonists & inhibitors	investigational	0
DB13094	Pruvanserin	Drug	0	investigational	0
DB13091	Tiropramide	Drug	Amino Acids, Aromatic, Autonomic Agents, Amino Acids, Cyclic, Synthetic Antispasmodics, Amides With Tertiary Amines, Alimentary Tract and Metabolism, Amino Acids, Peptides, and Proteins, Parasympatholytics, Drugs for Functional Gastrointestinal Disorders, Amino Acids, Peripheral Nervous System Agents	investigational	0
DB13092	Meclocycline	Drug	Anti-Bacterial Agents, Tetracyclines, Antiinfectives for Treatment of Acne, Dermatologicals, Naphthacenes, Anti-Acne Preparations, Anti-Acne Preparations for Topical Use, Anti-Infective Agents	investigational	1
DB13097	1alpha-Hydroxyvitamin D5	Drug	Cholestanes, Secosteroids, Sterols, Vitamin D and Analogues, Vitamins (Fat Soluble), Lipids, Membrane Lipids, Cholestenes, Fused-Ring Compounds, Vitamins, Steroids	investigational	0
DB13098	CT-2584	Drug	Alkaloids, Heterocyclic Compounds, Fused-Ring, Purines, Phospholipase D, antagonists & inhibitors, Purinones	investigational	0
DB13095	JTK-853	Drug	0	investigational	0
DB13096	Gacyclidine	Drug	Neuroprotective Agents, Neurotransmitter Agents, Cycloparaffins, Protective Agents, Central Nervous System Agents, Excitatory Amino Acid Agents, Compounds used in a research, industrial, or household setting, Excitatory Amino Acid Antagonists, Cyclohexanes	investigational	0
DB03700	D-Threonine	Drug	0	experimental	1
DB03701	Vanoxerine	Drug	Neurotransmitter Agents, Cytochrome P-450 Substrates, Cytochrome P-450 CYP3A Substrates, Neurotransmitter Uptake Inhibitors, Cytochrome P-450 CYP3A4 Substrates, Membrane Transport Modulators, Dopamine Agents, Dopamine Uptake Inhibitors	investigational	1
DB03706	1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane	Drug	0	experimental	1
DB03707	S-Ethyl-N-Phenyl-Isothiourea	Drug	0	experimental	2
DB03708	Adenosine 5'-phosphosulfate	Drug	Carbohydrates, Heterocyclic Compounds, Fused-Ring, Purine Nucleotides, Purines, Ribonucleotides, Nucleic Acids, Nucleotides, and Nucleosides, Glycosides, Nucleotides, Adenine Nucleotides	investigational, experimental	2
DB03709	Bicine	Drug	Amino Acids, Peptides, and Proteins, Amino Acids	experimental	3
DB03702	N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide	Drug	0	experimental	1
DB03703	Cyclohexanol	Drug	Cycloparaffins, Hexanols, Lipids, Fatty Alcohols, Alcohols, Cyclohexanes	experimental	1
DB03704	12-Hydroxydodecanoic Acid	Drug	Fatty Acids, Lipids	experimental	1
DB03705	6-Methylamino-5-Nitroisocytosine	Drug	0	experimental	1
DB03710	[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium	Drug	0	experimental	1
DB03711	6-Hydroxy-6-Methyl-Heptan-3-One	Drug	0	experimental	1
DB03712	RU85053	Drug	0	experimental	1
DB03717	3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one	Drug	0	experimental	1
DB03718	6-aza uridine 5'-monophosphate	Drug	Carbohydrates, Pyrimidines, Ribonucleotides, Nucleic Acids, Nucleotides, and Nucleosides, Glycosides, Uracil Nucleotides, Nucleotides, Pyrimidine Nucleotides	experimental	0
DB03719	N-Ethyl-5'-Carboxamido Adenosine	Drug	0	experimental	1
DB03714	4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid	Drug	0	experimental	1
DB03716	5'-Fluoro-5'-Deoxyadenosine	Drug	Carbohydrates, Heterocyclic Compounds, Fused-Ring, Purines, Ribonucleosides, Nucleic Acids, Nucleotides, and Nucleosides, Glycosides, Nucleosides, Deoxyribonucleosides, Purine Nucleosides	experimental	1
DB14410	Human adenovirus b serotype 7	Drug	0	approved	0
DB14411	Influenza A virus A/Victoria/361/2011 IVR-165 (H3N2) hemagglutinin antigen (propiolactone inactivated)	Drug	0	approved	0
DB14414	Influenza A virus A/California/7/2009 X-179A (H1N1) hemagglutinin antigen (UV, formaldehyde inactivated)	Drug	0	approved	0
DB14415	Influenza A virus A/Switzerland/9715293/2013 NIB-88 (H3N2) hemagglutinin antigen (UV, formaldehyde inactivated)	Drug	0	approved	0
DB14412	Influenza B virus B/Hubei-Wujiagang/158/2009 BX-39 hemagglutinin antigen (propiolactone inactivated)	Drug	0	approved	0
DB14413	Influenza A virus A/Hong Kong/4801/2014 X-263B (H3N2) hemagglutinin antigen (formaldehyde inactivated)	Drug	0	approved	0
DB14418	Influenza B virus B/Brisbane/60/2008 recombinant hemagglutinin antigen	Drug	0	approved	0
DB14419	Influenza A virus A/Christchurch/16/2010 NIB-74XP (H1N1) hemagglutinin antigen (formaldehyde inactivated)	Drug	0	approved	0
DB14416	Influenza B virus B/Phuket/3073/2013 hemagglutinin antigen (UV, formaldehyde inactivated)	Drug	0	approved	0
DB14417	Influenza A virus A/Hong Kong/4801/2014 (H3N2) recombinant hemagglutinin antigen	Drug	0	approved	0
DB01101	Capecitabine	Drug	Ribonucleosides, Cytochrome P-450 Substrates, Immunosuppressive Agents, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strong), Fluorouracil and prodrugs, Pyrimidine Analogues, Cardiotoxic antineoplastic agents, Drugs that are Mainly Renally Excreted, Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index, Nucleic Acid Synthesis Inhibitors, Pyrimidines, Nucleic Acids, Nucleotides, and Nucleosides, Cytochrome P-450 CYP2C9 Inhibitors, Glycosides, Carbohydrates, Pyrimidine Nucleosides, Noxae, Antineoplastic and Immunomodulating Agents, Pyrimidinones, Antineoplastic Agents, Antimetabolites, Myelosuppressive Agents, Fluoropyrimidines, Cytochrome P-450 CYP2C9 Substrates, Deoxycytidine, Nucleoside Metabolic Inhibitor, Nucleosides, Toxic Actions, Deoxyribonucleosides	approved, investigational	3
DB03764	4-Hydroperoxy-2-Methoxy-Phenol	Drug	0	experimental	0
DB02432	RU90395	Drug	0	experimental	1
DB03765	2'-cytidylic acid	Drug	0	experimental	1
DB01100	Pimozide	Drug	Cytochrome P-450 CYP2D6 Inhibitors, Highest Risk QTc-Prolonging Agents, Psycholeptics, QTc Prolonging Agents, Tranquilizing Agents, Benzimidazoles, Cytochrome P-450 CYP3A7 Substrates with a Narrow Therapeutic Index, Cytochrome P-450 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inhibitors, Nervous System, Antipsychotic Agents (First Generation Typical), Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index, Anti-Dyskinesia Agents, Antipsychotic Agents, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Diphenylbutylpiperidine Derivatives, Dopamine Antagonists, Agents that reduce seizure threshold, Dopamine Agents, Neurotoxic agents, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index, Psychotropic Drugs, Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index, Heterocyclic Compounds, Fused-Ring, Neurotransmitter Agents, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A4 Substrates (strength unknown), Narrow Therapeutic Index Drugs, Cytochrome P-450 CYP3A Substrates, Central Nervous System Depressants, Miscellaneous Antipsychotics, Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP3A4 Inhibitors, Central Nervous System Agents, Cytochrome P-450 CYP2D6 Substrates, P-glycoprotein inhibitors, Dopamine D2 Receptor Antagonists	approved	4
DB02431	Cytidine-5'-Triphosphate	Drug	0	experimental	8
DB02430	Trehalose-6-Phosphate	Drug	Carbohydrates, Enzyme Inhibitors, Polysaccharides, Disaccharides, Hexokinase, antagonists & inhibitors, Glucans, Oligosaccharides, Polymers, Biopolymers, Compounds used in a research, industrial, or household setting, Macromolecular Substances	experimental	1
DB03766	Propanoic acid	Drug	Ophthalmologicals, Acids, Acyclic, Fatty Acids, Fatty Acids, Volatile, Lipids, Sensory Organs, Anti-Infective Agents	approved, vet_approved	3
DB03767	Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide	Drug	0	experimental	1
DB01105	Sibutramine	Drug	Appetite Depressants, Cytochrome P-450 Substrates, Serotonin Agents, Antidepressive Agents, Norepinephrine, Serotonin, and Dopamine Reuptake Inhibitor Anorectic, Cytochrome P-450 CYP3A4 Substrates, Drugs that are Mainly Renally Excreted, Serotonin Modulators, Stimulants, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Alimentary Tract and Metabolism, Norepinephrine Uptake Inhibitors, Appetite Suppression, Dopamine Uptake Inhibitors, Selective Serotonin Reuptake Inhibitors, Centrally Acting Antiobesity Products, Cycloparaffins, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Agents producing tachycardia, Psychotropic Drugs, Cytochrome P-450 CYP3A Substrates, Anti-Obesity Agents, Central Nervous System Depressants, Serotonin and Noradrenaline Reuptake Inhibitors, Antiobesity Preparations, Excl. Diet Products, Central Nervous System Agents	approved, illicit, investigational, withdrawn	3
DB02436	{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid	Drug	0	experimental	1
DB03760	Dihydrolipoic Acid	Drug	Antioxidants, Coenzymes, Sulfur Compounds, Fatty Acids, Thiophenes, Protective Agents, Enzymes and Coenzymes, Lipids, Compounds used in a research, industrial, or household setting	experimental	4
DB03761	5-fluoro-2'-deoxyuridine-5'-monophosphate	Drug	0	experimental	4
DB01104	Sertraline	Drug	Cytochrome P-450 CYP2D6 Inhibitors, QTc Prolonging Agents, Amines, Cytochrome P-450 Substrates, Serotonin Agents, Cytochrome P-450 Enzyme Inhibitors, Nervous System, Hypoglycemia-Associated Agents, Cytochrome P-450 CYP2C19 Inhibitors, Antidepressive Agents, Cytochrome P-450 CYP2B6 Inhibitors, Cytochrome P-450 CYP3A4 Substrates, Serotonin Modulators, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Cytochrome P-450 CYP2C9 Inhibitors, Drugs causing inadvertant photosensitivity, Monoamine Oxidase A Substrates, Agents that reduce seizure threshold, Selective Serotonin Reuptake Inhibitors, Cytochrome P-450 CYP2E1 Substrates, Cytochrome P-450 CYP2C19 Inhibitors (moderate), Psychotropic Drugs, Membrane Transport Modulators, Naphthalenes, Cytochrome P-450 CYP2C19 Substrates, Cytochrome P-450 CYP2C9 Substrates, Neurotransmitter Agents, Cytochrome P-450 CYP3A Substrates, Photosensitizing Agents, Central Nervous System Depressants, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Neurotransmitter Uptake Inhibitors, Central Nervous System Agents, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP2B6 Inhibitors (strength unknown), P-glycoprotein inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (weak), Psychoanaleptics	approved	5
DB02435	Aminomethylcyclohexane	Drug	0	experimental	2
DB01103	Quinacrine	Drug	Anticestodal Agents, Enzyme Inhibitors, Antiparasitic Products, Insecticides and Repellents, Antiprotozoals, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 Substrates, Acridines, Antimalarials, Cytochrome P-450 CYP3A4 Substrates, Anti-Infective Agents, Heterocyclic Compounds, Fused-Ring, Cytochrome P-450 CYP3A Substrates, OCT2 Inhibitors, Antiplatyhelmintic Agents, Aminoacridines, P-glycoprotein inhibitors, Antinematodal Agents, Antiparasitic Agents	investigational	4
DB02434	4-(2-Thienyl)Butyric Acid	Drug	Acids, Acyclic, Sulfur Compounds, Fatty Acids, Fatty Acids, Volatile, Lipids	experimental	1
DB03763	5-methyl-2'-deoxypseudouridine	Drug	0	experimental	1
DB02433	{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid	Drug	0	experimental	2
