Uniprot ID,Gene-name,Lung,,,Spleen (White pulp),,,Liver,,,Heart,,, Renal cortex,,,Renal medulla,,,Testis,,,Thyroid,,
,,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value,log2 (fold change), p value,adjusted p value
A0A024RBG1,NUDT4B,,,,,,,,,,0.5832 ,0.0000 ,0.0000 ,,,,,,,,,,,,
A0A075B6H9,IGLV4-69,,,,,,,0.4425 ,0.0033 ,0.0169 ,,,,,,,,,,,,,,,
A0A075B6I0,IGLV8-61,-0.7304 ,0.0002 ,0.0034 ,,,,,,,,,,,,,,,,,,,,,
A0A075B6J9,IGLV2-18,,,,,,,,,,,,,0.5484 ,0.0011 ,0.0088 ,,,,,,,,,
A0A075B6R2,IGHV4-4,,,,,,,0.9157 ,0.0108 ,0.0413 ,,,,,,,,,,,,,,,
A0A087WSY6,IGKV3D-15,,,,,,,0.8281 ,0.0002 ,0.0022 ,,,,,,,,,,,,,,,
A0A087WW87,IGKV2-40,,,,,,,,,,,,,,,,,,,,,,-0.8957 ,0.0073 ,0.0410 
A0A0A0MRZ8,IGKV3D-11,,,,,,,0.5830 ,0.0086 ,0.0349 ,,,,,,,,,,,,,,,
A0A0A0MS15,IGHV3-49,,,,,,,0.6077 ,0.0004 ,0.0033 ,,,,,,,,,,,,,,,
A0A0B4J1Y9,IGHV3-72,,,,,,,0.4953 ,0.0051 ,0.0231 ,,,,,,,,,,,,,,,
A0A0B4J2D5,GATD3B,0.6669 ,0.0002 ,0.0030 ,0.5977 ,0.0003 ,0.0035 ,,,,,,,-0.3562 ,0.0003 ,0.0032 ,,,,,,,,,
A0A0B4J2F0,PIGBOS1,0.5964 ,0.0001 ,0.0021 ,0.4776 ,0.0047 ,0.0248 ,0.6312 ,0.0005 ,0.0040 ,,,,,,,,,,,,,,,
A0A0C4DH25,IGKV3D-20,,,,,,,0.6192 ,0.0056 ,0.0250 ,,,,,,,,,,,,,,,
A0A0C4DH26,IGKV6D-41,,,,,,,0.7956 ,0.0010 ,0.0065 ,,,,,,,,,,,,,,,
A0A0C4DH29,IGHV1-3,,,,,,,0.7977 ,0.0024 ,0.0132 ,,,,,,,,,,,,,,,
A0A0C4DH36,IGHV3-38,-1.0536 ,0.0000 ,0.0003 ,,,,0.8578 ,0.0008 ,0.0059 ,,,,,,,,,,,,,,,
A0A0C4DH38,IGHV5-51,,,,,,,0.6081 ,0.0014 ,0.0087 ,,,,,,,,,,,,,,,
A0A0C4DH72,IGKV1-6,,,,,,,0.5334 ,0.0000 ,0.0006 ,,,,,,,,,,,,,,,
